VD,CONT_PREC,OCORRENCIA,CONT_SEGUINTE,ITEM_LEXICAL,TRANSC_FONOLOGICA_SILAC,CONT_FON_PREC,CFP_abertura,CFP_anterioridade,CFP_tracoposicao1,CFP_tracoposicao2,CONT_FON_SEG,CFS_pontoc,CFS_sonor,TONICIDADE,POSICAO_S,CLASSE_MORFOLOGICA,CLASSE_MORFOLOGICA2,CLASSE_MORFOLOGICA3,MORFEMA.PLURAL,MORFEMA.PLURAL2,MUDANCA.SENTIDO,ESTILO,ARQUIVO,ANO.ENTREVISTA,LOCALIZACAO,PARTICIPANTE
0,| S é sempre tudo em,Alagoas <0>,| S2 é em Alagoas,Alagoas,a-la-'go-a$,a,aberta,central,menos.anterior,menos.posterior,#,#,#,atona,final,substantivo,substantivo,lexical,nao,nao,nao,conversa,ALCP_2017FB-_JosileideS,2017,00:26:19.176,JosileideS
A,lá de Alagoas? | S de,Alagoas <A>,| S é | D1,Alagoas,a-la-'go-a$,a,aberta,central,menos.anterior,menos.posterior,#,#,#,atona,final,substantivo,substantivo,lexical,nao,nao,nao,conversa,ALCP_2017FB-_LucimaraF,2017,00:26:31.434,LucimaraF
A,nós <0> voltou de novo pra,Alagoas <A>,| D1 mas você veio,Alagoas,a-la-'go-a$,a,aberta,central,menos.anterior,menos.posterior,#,#,#,atona,final,substantivo,substantivo,lexical,nao,nao,nao,conversa,ALCP_2017FB-_LucimaraF,2017,00:26:38.207,LucimaraF
A,fácil | S do que em,Alagoas <A>,| S bem mais <A>,Alagoas,a-la-'go-a$,a,aberta,central,menos.anterior,menos.posterior,#,#,#,atona,final,substantivo,substantivo,lexical,nao,nao,nao,conversa,ALCP_2017FB-_LucimaraF,2017,00:26:45.743,LucimaraF
A,da pessoa vê mais <A> em,Alagoas <A>,Maceió e Maceió que a,Alagoas,a-la-'go-a$,a,aberta,central,menos.anterior,menos.posterior,m,dorsal.labial,sonora,atona,final,substantivo,substantivo,lexical,nao,nao,nao,conversa,ALCP_2017FB-_LucimaraF,2017,00:26:45.743,LucimaraF
A,tanto canto | S vem de,Alagoas <A>,| D1 é? mas onde,Alagoas,a-la-'go-a$,a,aberta,central,menos.anterior,menos.posterior,#,#,#,atona,final,substantivo,substantivo,lexical,nao,nao,nao,conversa,ALCP_2017FB-_LucimaraF,2017,00:26:50.750,LucimaraF
A,você/ você mesmo <A> for pra,Alagoas <A>,todo mundo conhece você não,Alagoas,a-la-'go-a$,a,aberta,central,menos.anterior,menos.posterior,t,coronal,surda,atona,final,substantivo,substantivo,lexical,nao,nao,nao,conversa,ALCP_2017MA-_DanielS,2017,00:26:53.236,DanielS
A,aonde você mora? | S é,Alagoas <A>,| D1 e tem algum,Alagoas,a-la-'go-a$,a,aberta,central,menos.anterior,menos.posterior,#,#,#,atona,final,substantivo,substantivo,lexical,nao,nao,nao,conversa,ALCP_2017MA-_DanielS,2017,00:26:59.734,DanielS
A,que estado que é? | S,Alagoas <A>,| D1 todo mundo? |,Alagoas,a-la-'go-a$,a,aberta,central,menos.anterior,menos.posterior,#,#,#,atona,final,substantivo,substantivo,lexical,nao,nao,nao,conversa,ALCP_2017MA-_DanielS,2017,00:27:08.963,DanielS
A,mesmo <A> é mais <A> de,Alagoas <A>,| S e o dono,Alagoas,a-la-'go-a$,a,aberta,central,menos.anterior,menos.posterior,#,#,#,atona,final,substantivo,substantivo,lexical,nao,nao,nao,conversa,ALCP_2017MA-_WellingtonF,2017,00:27:16.471,WellingtonF
